year,month,tournaments,entrants,uniques,sets,withCharactersAndStages,withStockCounts,withColors
2019,2,0,0,0,0,0,0,0
2019,3,3,36,36,78,29,0,0
2019,4,5,54,53,125,24,0,0
2019,5,2,19,19,33,12,0,0
2019,6,2,15,15,26,26,0,0
2019,7,1,7,7,12,5,0,0
2019,8,0,0,0,0,0,0,0
2019,9,2,30,30,56,1,0,0
2019,10,5,38,30,64,30,3,0
2019,11,1,2,2,2,2,0,0
2019,12,3,23,23,53,30,0,0
2020,1,3,34,34,61,44,0,0
2020,2,4,35,35,55,3,1,0
2020,3,65,1215,925,2279,843,12,0
2020,4,127,2566,1292,4860,2683,6,0
2020,5,180,4492,2167,8603,6025,5,0
2020,6,157,3496,1798,6754,4827,10,0
2020,7,204,6946,3596,13271,7628,11,0
2020,8,296,7346,3440,13622,11427,3,0
2020,9,303,6276,2742,12006,10400,1,0
2020,10,291,6195,2605,11756,10144,5,0
2020,11,284,6748,2727,13018,11859,1,0
2020,12,327,8809,3678,17550,16156,8,0
2021,1,425,11961,4907,24282,22403,7,0
2021,2,393,9365,3844,19458,17683,2,0
2021,3,426,10283,3980,21146,19591,3,0
2021,4,390,9553,3842,19666,17937,0,0
2021,5,356,8979,3747,18403,16442,0,0
2021,6,261,5896,2700,12309,11006,0,0
2021,7,230,5596,2661,12362,10850,0,0
2021,8,227,5313,2332,11868,10680,0,0
2021,9,217,4556,2212,10410,9090,0,0
2021,10,198,3490,1671,7722,6866,1,0
2021,11,170,3589,1793,8054,7233,17,0
2021,12,173,4285,2071,9864,8544,0,0
2022,1,312,10499,4477,22350,20260,14,0
2022,2,300,8323,3083,18491,16584,2,0
2022,3,285,7276,2680,15547,14187,1,0
2022,4,288,7037,2809,15163,13962,0,0
2022,5,303,7287,2900,15810,14147,0,0
2022,6,270,6439,2610,13696,12079,5,0
2022,7,278,6840,2967,13986,12821,18,0
2022,8,269,6969,3030,14742,13063,25,0
2022,9,242,6196,2482,13116,11955,1,0
2022,10,255,5940,2474,12628,11253,40,0
2022,11,253,6042,2543,12763,11425,0,0
2022,12,210,4253,2146,9303,8054,0,0
2023,1,209,3970,2047,8866,7786,1,0
2023,2,221,4959,2599,10204,8985,2,0
2023,3,244,4824,2294,10353,9024,0,0
2023,4,221,4230,2058,8999,7877,3,0
2023,5,209,3880,1914,8015,7096,0,0
2023,6,207,3904,1943,8059,7034,0,0
2023,7,225,4240,2042,8417,7290,0,0
2023,8,214,4059,1990,8503,7312,0,0
2023,9,224,4099,1923,8294,7151,2,0
2023,10,208,4205,2046,8660,7478,2,0
2023,11,193,4360,2351,9024,7823,1,0
2023,12,189,3289,1584,6860,5868,0,0
2024,1,200,3983,1869,8317,7164,0,0
2024,2,182,3666,1712,7701,6791,0,0
2024,3,210,3946,1763,7949,6911,1,0
2024,4,172,2878,1420,6015,5297,1,0
2024,5,167,3074,1525,6373,5497,0,0
2024,6,174,3090,1441,6483,5628,0,0
2024,7,192,3577,1652,7905,6830,0,0
2024,8,202,4088,1898,8825,7804,0,0
2024,9,184,3360,1672,6979,6192,1,0
2024,10,175,2823,1410,6157,5336,0,0
2024,11,161,2205,1129,4491,4062,1,0
2024,12,150,2054,1131,4324,3753,0,0
2025,1,162,2614,1277,5312,4875,1,0
2025,2,158,2607,1284,5196,4811,0,0
2025,3,161,3027,1486,5914,5474,0,0
2025,4,155,2551,1259,5227,4794,0,0
2025,5,188,3009,1395,6066,5548,1,0
2025,6,193,3057,1421,5940,5504,0,0
2025,7,174,2970,1272,6003,5676,0,0
2025,8,173,2909,1261,5761,5242,9,0
2025,9,160,2254,1069,4313,4027,4,0
2025,10,158,2039,919,4101,3778,0,0
2025,11,159,2200,1113,4200,3902,0,0
